variant_test_data,cal_test,class,statistic,p_value
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,binom_p,5.071024182757454e-59
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,median_p,0.0013562687768214
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,q25_p,0.000150899750004
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,q75_p,0.0034429132242614
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,prop_sig,0.96
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,binom_p,4.0399843007513144e-119
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,median_p,0.0092462471332341
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,q25_p,0.0018717609364165
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,q75_p,0.0220802092527072
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,prop_sig,0.93
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,binom_p,1.1331966626841824e-111
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,median_p,0.95451086779482
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,q25_p,0.8553959311862384
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,q75_p,0.9863204752852566
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,prop_sig,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,binom_p,1.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,fisher_p,1.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,median_p,0.5074729789826828
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,q25_p,0.3537652648566962
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6586006103355693
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.01
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,binom_p,0.994079470779666
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.983523225662784
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,median_p,0.7108330192951805
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,q25_p,0.4751430610327121
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8878003192911252
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.03
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,binom_p,0.8817370188148796
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9999984231773592
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,median_p,0.4993594448065422
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,q25_p,0.3297434923766303
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,q75_p,0.6557532174829113
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,prop_sig,0.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,binom_p,1.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,fisher_p,0.975914121971931
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,median_p,0.5528574431594504
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,q25_p,0.3453858698624626
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,q75_p,0.6945305922687646
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,prop_sig,0.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,binom_p,1.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,fisher_p,0.9935513349210456
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,median_p,7.220278461399399e-23
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,q25_p,3.270225453804328e-25
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,q75_p,3.647476729269194e-21
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,median_p,0.1208909785835362
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,q25_p,0.0413386802415733
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,q75_p,0.1838858557799902
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,prop_sig,0.27
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,binom_p,3.911149348177737e-13
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,median_p,2.5177108578221075e-36
_contrast_histeq,baseline3T-cal_dv3T-test,0,q25_p,5.1073256975450626e-40
_contrast_histeq,baseline3T-cal_dv3T-test,0,q75_p,1.6324430244265303e-32
_contrast_histeq,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,median_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,q25_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,q75_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,prop_sig,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,binom_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,fisher_p,1.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,median_p,0.4756326381066736
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,q25_p,0.317401353012138
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6831768173634213
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.03
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,binom_p,0.8817370188148796
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.8936308173156018
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,median_p,0.6990266732387195
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,q25_p,0.4675633945838824
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8771692164646532
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.0
