variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,50,0,12773,15136,0.8438821353065539,1591,15136,2.7722898803044686e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,50,1,547,1204,0.4543189368770764,215,1204,4.100554180693891e-38
_blurred_SD1,baseline3T-cal_dv1.5T-test,51,0,13589,15179,0.8952500164701231,1634,15179,0.2812441510244749
_blurred_SD1,baseline3T-cal_dv1.5T-test,51,1,345,1161,0.2971576227390181,172,1161,8.720559632632409e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,52,0,13319,15179,0.87746228341788,1419,15179,0.005036688725395413
_blurred_SD1,baseline3T-cal_dv1.5T-test,52,1,306,1161,0.26356589147286824,387,1161,5.24229951091166e-115
_blurred_SD1,baseline3T-cal_dv1.5T-test,53,0,13777,15265,0.9025221094005896,1548,15265,0.620615223200722
_blurred_SD1,baseline3T-cal_dv1.5T-test,53,1,391,1075,0.36372093023255814,258,1075,4.142383557057151e-60
_blurred_SD1,baseline3T-cal_dv1.5T-test,54,0,12997,15222,0.8538299829194587,1548,15222,1.0855157719363191e-07
_blurred_SD1,baseline3T-cal_dv1.5T-test,54,1,465,1118,0.4159212880143113,258,1118,1.4566097999909104e-50
_blurred_SD1,baseline3T-cal_dv1.5T-test,55,0,12881,15222,0.8462094337143607,1591,15222,1.1756687140948281e-09
_blurred_SD1,baseline3T-cal_dv1.5T-test,55,1,393,1118,0.35152057245080504,215,1118,3.866799134272783e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,56,0,13526,15265,0.8860792662954471,1634,15265,0.04480127283350539
_blurred_SD1,baseline3T-cal_dv1.5T-test,56,1,394,1075,0.3665116279069767,172,1075,2.675882113379202e-42
_blurred_SD1,baseline3T-cal_dv1.5T-test,57,0,13556,15179,0.8930759602081824,1591,15179,0.20764728044957728
_blurred_SD1,baseline3T-cal_dv1.5T-test,57,1,462,1161,0.3979328165374677,215,1161,1.809048833524665e-46
_blurred_SD1,baseline3T-cal_dv1.5T-test,58,0,12720,15179,0.8379998682390144,1634,15179,2.771857043465443e-12
_blurred_SD1,baseline3T-cal_dv1.5T-test,58,1,526,1161,0.45305770887166236,172,1161,2.0180695647044556e-31
_blurred_SD1,baseline3T-cal_dv1.5T-test,59,0,13561,15351,0.8833952185525373,1419,15351,0.02685781498150973
_blurred_SD1,baseline3T-cal_dv1.5T-test,59,1,363,989,0.36703741152679475,387,989,2.559418979846089e-79
_blurred_SD1,baseline3T-cal_dv1.5T-test,60,0,12897,15265,0.8448738945299705,1548,15265,5.925080839367541e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,60,1,349,1075,0.32465116279069767,258,1075,2.201610442385247e-68
_blurred_SD1,baseline3T-cal_dv1.5T-test,61,0,12413,15136,0.8200977801268499,1591,15136,1.0261301208142534e-17
_blurred_SD1,baseline3T-cal_dv1.5T-test,61,1,432,1204,0.3588039867109635,215,1204,2.152502911985618e-53
_blurred_SD1,baseline3T-cal_dv1.5T-test,62,0,13497,15179,0.8891890111338033,1677,15179,0.08648426097102589
_blurred_SD1,baseline3T-cal_dv1.5T-test,62,1,496,1161,0.4272179155900086,129,1161,9.430199216417923e-28
_blurred_SD1,baseline3T-cal_dv1.5T-test,63,0,13222,15179,0.8710718756176297,1634,15179,0.0003076011591214258
_blurred_SD1,baseline3T-cal_dv1.5T-test,63,1,442,1161,0.3807062876830319,172,1161,1.13209674213136e-40
_blurred_SD1,baseline3T-cal_dv1.5T-test,64,0,13770,15179,0.9071743856644048,1548,15179,0.8172979266683458
_blurred_SD1,baseline3T-cal_dv1.5T-test,64,1,351,1161,0.3023255813953488,258,1161,1.5738078872953083e-74
_blurred_SD1,baseline3T-cal_dv1.5T-test,65,0,12136,15093,0.8040813622208971,1505,15093,1.1626557238783653e-22
_blurred_SD1,baseline3T-cal_dv1.5T-test,65,1,446,1247,0.35765838011226947,301,1247,2.179521809777825e-70
_blurred_SD1,baseline3T-cal_dv1.5T-test,66,0,13335,15179,0.8785163713024573,1634,15179,0.004908728144693517
_blurred_SD1,baseline3T-cal_dv1.5T-test,66,1,368,1161,0.3169681309216193,172,1161,2.170423544980067e-50
_blurred_SD1,baseline3T-cal_dv1.5T-test,67,0,12980,15265,0.8503111693416312,1591,15265,1.3701507935748878e-08
_blurred_SD1,baseline3T-cal_dv1.5T-test,67,1,451,1075,0.41953488372093023,215,1075,1.3223174725309191e-42
_blurred_SD1,baseline3T-cal_dv1.5T-test,68,0,13980,15136,0.9236257928118393,1591,15136,0.9994588075655279
_blurred_SD1,baseline3T-cal_dv1.5T-test,68,1,499,1204,0.41445182724252494,215,1204,4.619663994519363e-44
_blurred_SD1,baseline3T-cal_dv1.5T-test,69,0,13279,15136,0.8773123678646935,1548,15136,0.003632812976347444
_blurred_SD1,baseline3T-cal_dv1.5T-test,69,1,330,1204,0.27408637873754155,258,1204,3.737975378418899e-82
_blurred_SD1,baseline3T-cal_dv1.5T-test,70,0,12318,15222,0.8092234923137565,1462,15222,3.344889201400619e-20
_blurred_SD1,baseline3T-cal_dv1.5T-test,70,1,367,1118,0.3282647584973166,344,1118,1.248773548369533e-84
_blurred_SD1,baseline3T-cal_dv1.5T-test,71,0,13295,15222,0.8734069110497964,1591,15222,0.0009608622044010756
_blurred_SD1,baseline3T-cal_dv1.5T-test,71,1,429,1118,0.38372093023255816,215,1118,1.4976252170296796e-48
_blurred_SD1,baseline3T-cal_dv1.5T-test,72,0,13373,15265,0.8760563380281691,1548,15265,0.002362171500298534
_blurred_SD1,baseline3T-cal_dv1.5T-test,72,1,269,1075,0.2502325581395349,258,1075,7.708032840045193e-87
_blurred_SD1,baseline3T-cal_dv1.5T-test,73,0,13147,15265,0.8612512283000328,1505,15265,7.142267727572245e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,73,1,494,1075,0.4595348837209302,301,1075,9.744730514973587e-48
_blurred_SD1,baseline3T-cal_dv1.5T-test,74,0,13123,15222,0.8621074760215478,1548,15222,7.485823130753654e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,74,1,416,1118,0.37209302325581395,258,1118,7.856153174757707e-59
_blurred_SD1,baseline3T-cal_dv1.5T-test,75,0,13349,15179,0.8794386982014626,1505,15179,0.008390681579952715
_blurred_SD1,baseline3T-cal_dv1.5T-test,75,1,418,1161,0.36003445305770887,301,1161,6.243524497784141e-69
_blurred_SD1,baseline3T-cal_dv1.5T-test,76,0,13197,15265,0.8645266950540452,1591,15265,2.329820821173555e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,76,1,356,1075,0.3311627906976744,215,1075,1.4103624591381212e-57
_blurred_SD1,baseline3T-cal_dv1.5T-test,77,0,13419,15222,0.8815530153724872,1591,15222,0.014623724627952434
_blurred_SD1,baseline3T-cal_dv1.5T-test,77,1,380,1118,0.33989266547406083,215,1118,2.8282462294501283e-56
_blurred_SD1,baseline3T-cal_dv1.5T-test,78,0,12273,15222,0.806267244777296,1505,15222,7.225756374261635e-22
_blurred_SD1,baseline3T-cal_dv1.5T-test,78,1,480,1118,0.4293381037567084,301,1118,9.051694403976048e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,79,0,12626,15179,0.8318071019171224,1419,15179,8.015440026415154e-13
_blurred_SD1,baseline3T-cal_dv1.5T-test,79,1,454,1161,0.39104220499569337,387,1161,6.421579440044685e-76
_blurred_SD1,baseline3T-cal_dv1.5T-test,80,0,11971,15222,0.7864275390881619,1548,15222,1.9273610782880975e-30
_blurred_SD1,baseline3T-cal_dv1.5T-test,80,1,413,1118,0.3694096601073345,258,1118,2.2896007049423966e-59
_blurred_SD1,baseline3T-cal_dv1.5T-test,81,0,12308,15222,0.8085665484167652,1505,15222,4.96047264043984e-21
_blurred_SD1,baseline3T-cal_dv1.5T-test,81,1,356,1118,0.3184257602862254,301,1118,1.558214993498278e-78
_blurred_SD1,baseline3T-cal_dv1.5T-test,82,0,13330,15179,0.8781869688385269,1548,15179,0.004841174168569611
_blurred_SD1,baseline3T-cal_dv1.5T-test,82,1,449,1161,0.3867355727820844,258,1161,2.571443508767754e-56
_blurred_SD1,baseline3T-cal_dv1.5T-test,83,0,12553,15179,0.826997825943738,1634,15179,8.383701189166353e-16
_blurred_SD1,baseline3T-cal_dv1.5T-test,83,1,379,1161,0.326442721791559,172,1161,7.800184736399514e-49
_blurred_SD1,baseline3T-cal_dv1.5T-test,84,0,13474,15222,0.8851662068059388,1548,15222,0.03650355955119305
_blurred_SD1,baseline3T-cal_dv1.5T-test,84,1,425,1118,0.38014311270125223,258,1118,3.0226145744486944e-57
_blurred_SD1,baseline3T-cal_dv1.5T-test,85,0,13183,15222,0.8660491394034949,1376,15222,0.000111427759443487
_blurred_SD1,baseline3T-cal_dv1.5T-test,85,1,367,1118,0.3282647584973166,430,1118,1.5350562137944167e-99
_blurred_SD1,baseline3T-cal_dv1.5T-test,86,0,13315,15136,0.8796908033826638,1505,15136,0.009061205113115768
_blurred_SD1,baseline3T-cal_dv1.5T-test,86,1,446,1204,0.3704318936877076,301,1204,5.4366476166233004e-67
_blurred_SD1,baseline3T-cal_dv1.5T-test,87,0,13212,15351,0.8606605432870823,1548,15351,3.696214638797775e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,87,1,288,989,0.29120323559150657,258,989,5.574031081860436e-75
_blurred_SD1,baseline3T-cal_dv1.5T-test,88,0,13353,15308,0.8722889992160962,1548,15308,0.0005966247421805559
_blurred_SD1,baseline3T-cal_dv1.5T-test,88,1,421,1032,0.40794573643410853,258,1032,2.6080340050203218e-51
_blurred_SD1,baseline3T-cal_dv1.5T-test,89,0,13681,15179,0.9013110218064431,1548,15179,0.5612028148721295
_blurred_SD1,baseline3T-cal_dv1.5T-test,89,1,380,1161,0.3273040482342808,258,1161,1.0387396181067617e-68
_blurred_SD1,baseline3T-cal_dv1.5T-test,90,0,13347,15136,0.8818049682875264,1548,15136,0.014700774282815882
_blurred_SD1,baseline3T-cal_dv1.5T-test,90,1,506,1204,0.420265780730897,258,1204,2.268825893302846e-50
_blurred_SD1,baseline3T-cal_dv1.5T-test,91,0,13138,15265,0.8606616442843105,1591,15265,3.669958523637523e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,91,1,277,1075,0.2576744186046512,215,1075,4.3933571914913546e-73
_blurred_SD1,baseline3T-cal_dv1.5T-test,92,0,13673,15179,0.9007839778641544,1462,15179,0.553589642978636
_blurred_SD1,baseline3T-cal_dv1.5T-test,92,1,399,1161,0.34366925064599485,344,1161,4.156338253465265e-81
_blurred_SD1,baseline3T-cal_dv1.5T-test,93,0,13086,15179,0.8621121285987219,1591,15179,7.4969872778913614e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,93,1,376,1161,0.32385874246339363,215,1161,1.1460447819518397e-59
_blurred_SD1,baseline3T-cal_dv1.5T-test,94,0,13640,15265,0.8935473304945954,1591,15265,0.22443959416041842
_blurred_SD1,baseline3T-cal_dv1.5T-test,94,1,430,1075,0.4,215,1075,1.2297291957077236e-45
_blurred_SD1,baseline3T-cal_dv1.5T-test,95,0,13081,15265,0.8569276121847363,1634,15265,3.548155924524817e-07
_blurred_SD1,baseline3T-cal_dv1.5T-test,95,1,344,1075,0.32,172,1075,2.107278883862765e-49
_blurred_SD1,baseline3T-cal_dv1.5T-test,96,0,13110,15136,0.866146934460888,1634,15136,3.6308103818543015e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,96,1,355,1204,0.29485049833887045,172,1204,1.927569757903609e-54
