class_conditional,variant_test_data,cal_test,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1,runs_count
True,contrast_imadjust,baseline3T-cal_dv3T-test,1,0.9472868217054263,0.9829457364341085,0.9829457364341085,0.9993544222078761,0.6622856759591229,0.6616050529678663,0.9915014505386353,0.15,100
True,contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,0.978320901726964,0.8971882801208777,1.670538132591524,0.8359698984698984,0.590846496693346,0.46200911967243624,0.9995242059230804,0.06842105263157895,100
True,contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,0.3323169681309216,0.8785529715762274,1.4161821705426356,0.9374965618410196,0.702520068005251,0.6360411830015884,0.021457836031913757,0.06842105263157895,100
True,contrast_imadjust,dv3T-cal_dv3T-test,0,0.9567533508993011,0.8992248062015504,0.9247720267964034,0.9961389961389961,0.5021502027419578,0.49554227341352775,0.9994087219238281,0.15,100
True,contrast_imadjust,dv3T-cal_dv3T-test,1,0.9472868217054263,0.8816689466484269,0.8878737541528239,0.9987602385013754,0.46643518518518523,0.46455076307463244,0.9915014505386353,0.15,100
True,baseline,baseline3T-cal_dv1.5T-test,0,0.9964424533895514,0.9164235048974705,0.9262037340320995,0.9961389961389961,0.5436706724077682,0.5388499970668617,0.9992997050285339,0.06842105263157895,100
True,baseline,baseline3T-cal_dv1.5T-test,1,0.31440071556350624,0.3397137745974955,0.881860465116279,0.9961389961389961,0.3964946606014458,0.3944263552097569,0.01436067558825016,0.06842105263157895,100
True,baseline,baseline3T-cal_dv3T-test,0,0.9911472928286315,0.9005323620061643,0.921173954746293,0.9961389961389961,0.4977404777275662,0.49387947386656234,0.9990720748901367,0.15,100
True,baseline,baseline3T-cal_dv3T-test,1,0.8199612403100776,0.8769725913621262,0.8911960132890365,0.99933598937583,0.46673429544845535,0.46609647973881685,0.9470034539699554,0.15,100
True,baseline,dv1.5T-cal_dv1.5T-test,0,0.9964854235456209,0.8981854469346627,1.6903117631939604,0.8310185185185186,0.5728617665505864,0.446668711033479,0.9992997050285339,0.06842105263157895,100
True,baseline,dv1.5T-cal_dv1.5T-test,1,0.31503014642549526,0.8776744186046512,1.3684779367918902,0.9523671176779834,0.7170865903592034,0.6643296701028815,0.014235466253012419,0.06842105263157895,100
True,baseline,dv3T-cal_dv3T-test,0,0.9911472928286315,0.9005323620061643,0.921173954746293,0.9961389961389961,0.4977404777275662,0.49387947386656234,0.9990720748901367,0.15,100
True,baseline,dv3T-cal_dv3T-test,1,0.8199612403100776,0.8769725913621262,0.8911960132890365,0.99933598937583,0.46673429544845535,0.46609647973881685,0.9470034539699554,0.15,100
