variant_test_data,cal_test,class,statistic,p_value
_contrast_imadjust,baseline3T-cal_dv3T-test,0,q25_p,3.4630808416262194e-26
_contrast_imadjust,baseline3T-cal_dv3T-test,0,q75_p,8.587214657329696e-11
_contrast_imadjust,baseline3T-cal_dv3T-test,0,prop_sig,0.99
_contrast_imadjust,baseline3T-cal_dv3T-test,0,binom_p,1.499624580825152e-127
_contrast_imadjust,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv3T-test,1,median_p,0.9999999727994776
_contrast_imadjust,baseline3T-cal_dv3T-test,1,q25_p,0.9867166264950136
_contrast_imadjust,baseline3T-cal_dv3T-test,1,q75_p,1.0
_contrast_imadjust,baseline3T-cal_dv3T-test,1,prop_sig,0.06
_contrast_imadjust,baseline3T-cal_dv3T-test,1,binom_p,0.3840008720438586
_contrast_imadjust,baseline3T-cal_dv3T-test,1,fisher_p,0.9980323365270748
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,median_p,0.3580899020604542
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0003216248338036
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9945885304144376
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.37
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,binom_p,1.0764600283749784e-22
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,median_p,0.278565021609747
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,q25_p,4.5532088485951006e-06
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,q75_p,0.9865970064025864
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.4
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,binom_p,6.238625307670539e-26
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_imadjust,dv3T-cal_dv3T-test,0,median_p,0.4857488306914708
_contrast_imadjust,dv3T-cal_dv3T-test,0,q25_p,0.00800717452946
_contrast_imadjust,dv3T-cal_dv3T-test,0,q75_p,0.9964362660085364
_contrast_imadjust,dv3T-cal_dv3T-test,0,prop_sig,0.38
_contrast_imadjust,dv3T-cal_dv3T-test,0,binom_p,9.356496953871759e-24
_contrast_imadjust,dv3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_imadjust,dv3T-cal_dv3T-test,1,median_p,0.2611103590001672
_contrast_imadjust,dv3T-cal_dv3T-test,1,q25_p,0.002102863939971
_contrast_imadjust,dv3T-cal_dv3T-test,1,q75_p,0.962224444360224
_contrast_imadjust,dv3T-cal_dv3T-test,1,prop_sig,0.41
_contrast_imadjust,dv3T-cal_dv3T-test,1,binom_p,4.789204721185276e-27
_contrast_imadjust,dv3T-cal_dv3T-test,1,fisher_p,0.0
