variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,13,1,375,946,0.3964059196617336,6,22,0.004012390355643858
_blurred_SD1,baseline3T-cal_dv1.5T-test,14,0,13587,15179,0.895118255484551,35,353,0.4926463217867254
_blurred_SD1,baseline3T-cal_dv1.5T-test,14,1,423,1161,0.3643410852713178,7,27,0.000888555950974868
_blurred_SD1,baseline3T-cal_dv1.5T-test,15,0,13567,15351,0.8837860725685623,37,357,0.3629891883573074
_blurred_SD1,baseline3T-cal_dv1.5T-test,15,1,387,989,0.391304347826087,5,23,0.009391881498062563
_blurred_SD1,baseline3T-cal_dv1.5T-test,16,0,13264,15222,0.8713703849691237,34,354,0.3477216622585224
_blurred_SD1,baseline3T-cal_dv1.5T-test,16,1,355,1118,0.31753130590339895,8,26,0.00011067181398415182
_blurred_SD1,baseline3T-cal_dv1.5T-test,17,0,13364,15222,0.8779398239390356,33,354,0.41522381691144583
_blurred_SD1,baseline3T-cal_dv1.5T-test,17,1,322,1118,0.2880143112701252,9,26,1.5045285950262056e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,18,0,13427,15222,0.8820785704900801,37,354,0.3511104312902057
_blurred_SD1,baseline3T-cal_dv1.5T-test,18,1,464,1118,0.4150268336314848,5,26,0.01254723727926264
_blurred_SD1,baseline3T-cal_dv1.5T-test,19,0,13507,15265,0.8848345889289224,40,355,0.5052410969359884
_blurred_SD1,baseline3T-cal_dv1.5T-test,19,1,59,1075,0.05488372093023256,2,25,0.0031582980397868417
_blurred_SD1,baseline3T-cal_dv1.5T-test,20,0,12023,15308,0.7854063234909852,35,356,0.04031807406568286
_blurred_SD1,baseline3T-cal_dv1.5T-test,20,1,305,1032,0.29554263565891475,7,24,0.00020995830199677904
_blurred_SD1,baseline3T-cal_dv1.5T-test,21,0,13280,15265,0.8699639698657059,40,355,0.39202853436541346
_blurred_SD1,baseline3T-cal_dv1.5T-test,21,1,413,1075,0.3841860465116279,2,25,0.14825879404803305
_blurred_SD1,baseline3T-cal_dv1.5T-test,22,0,13376,15179,0.8812174715066868,35,353,0.38984458665133365
_blurred_SD1,baseline3T-cal_dv1.5T-test,22,1,483,1161,0.4160206718346253,7,27,0.0022304890430501923
_blurred_SD1,baseline3T-cal_dv1.5T-test,23,0,13242,15265,0.8674746151326564,33,355,0.34717992988999524
_blurred_SD1,baseline3T-cal_dv1.5T-test,23,1,413,1075,0.3841860465116279,9,25,0.00019485400478725596
_blurred_SD1,baseline3T-cal_dv1.5T-test,24,0,12820,15179,0.8445879175176231,37,353,0.1524908553719115
_blurred_SD1,baseline3T-cal_dv1.5T-test,24,1,412,1161,0.35486649440137813,5,27,0.005760558299040646
_blurred_SD1,baseline3T-cal_dv1.5T-test,25,0,13344,15179,0.8791092957375322,35,353,0.37532807398309653
_blurred_SD1,baseline3T-cal_dv1.5T-test,25,1,522,1161,0.4496124031007752,7,27,0.0038247339908968445
_blurred_SD1,baseline3T-cal_dv1.5T-test,26,0,12835,15265,0.840812315754995,39,355,0.11250809193330913
_blurred_SD1,baseline3T-cal_dv1.5T-test,26,1,345,1075,0.3209302325581395,3,25,0.03344552996847272
_blurred_SD1,baseline3T-cal_dv1.5T-test,27,0,13487,15179,0.8885302062059425,38,353,0.3756771135973161
_blurred_SD1,baseline3T-cal_dv1.5T-test,27,1,455,1161,0.39190353143841516,4,27,0.023905314287431007
_blurred_SD1,baseline3T-cal_dv1.5T-test,28,0,14237,15265,0.9326564035375041,36,355,0.777880674583723
_blurred_SD1,baseline3T-cal_dv1.5T-test,28,1,387,1075,0.36,6,25,0.0022531166615147474
_blurred_SD1,baseline3T-cal_dv1.5T-test,29,0,12746,15179,0.8397127610514526,33,353,0.20253840313733867
_blurred_SD1,baseline3T-cal_dv1.5T-test,29,1,452,1161,0.38931955211024977,9,27,0.00021822577487700577
_blurred_SD1,baseline3T-cal_dv1.5T-test,30,0,13198,15179,0.8694907437907635,37,353,0.2711060843932531
_blurred_SD1,baseline3T-cal_dv1.5T-test,30,1,304,1161,0.26184323858742464,5,27,0.0012761612059174604
_blurred_SD1,baseline3T-cal_dv1.5T-test,31,0,13666,15222,0.8977795296281698,33,354,0.5599913071982137
