variant_test_data,cal_test,run,n_cov,n_val,coverage,p_value
_blurred_SD1,baseline3T-cal_dv3T-test,78,3896,4300,0.906046511627907,0.7712362016365922
_blurred_SD1,baseline3T-cal_dv3T-test,79,3756,4300,0.8734883720930232,0.001561143053932301
_blurred_SD1,baseline3T-cal_dv3T-test,80,3281,4300,0.7630232558139535,1.6206866092802924e-38
_blurred_SD1,baseline3T-cal_dv3T-test,81,3584,4300,0.8334883720930233,2.5050535560741126e-12
_blurred_SD1,baseline3T-cal_dv3T-test,82,3935,4300,0.9151162790697674,0.9702957558514289
_blurred_SD1,baseline3T-cal_dv3T-test,83,3506,4300,0.8153488372093023,6.2882429960419066e-18
_blurred_SD1,baseline3T-cal_dv3T-test,84,3982,4300,0.926046511627907,0.9995930278897159
_blurred_SD1,baseline3T-cal_dv3T-test,85,3743,4300,0.8704651162790698,0.0005314061733017774
_blurred_SD1,baseline3T-cal_dv3T-test,86,3868,4300,0.8995348837209303,0.48288295191998365
_blurred_SD1,baseline3T-cal_dv3T-test,87,3480,4300,0.8093023255813954,5.500862255922164e-20
_blurred_SD1,baseline3T-cal_dv3T-test,88,3834,4300,0.8916279069767442,0.16769197877787295
_blurred_SD1,baseline3T-cal_dv3T-test,89,3766,4300,0.8758139534883721,0.003381077505706026
_blurred_SD1,baseline3T-cal_dv3T-test,90,3772,4300,0.8772093023255814,0.005248982437239932
_blurred_SD1,baseline3T-cal_dv3T-test,91,3686,4300,0.8572093023255813,1.860746505445279e-06
_blurred_SD1,baseline3T-cal_dv3T-test,92,3826,4300,0.8897674418604651,0.12001014667715679
_blurred_SD1,baseline3T-cal_dv3T-test,93,3316,4300,0.7711627906976745,6.313743572789242e-35
_blurred_SD1,baseline3T-cal_dv3T-test,94,3927,4300,0.9132558139534884,0.9501145881450364
_blurred_SD1,baseline3T-cal_dv3T-test,95,3549,4300,0.8253488372093023,9.910239912848627e-15
_blurred_SD1,baseline3T-cal_dv3T-test,96,3554,4300,0.8265116279069767,2.2417738693331154e-14
